,date_crawled,car_name,price_EUR,ab_test,vehicle_type,registration_year,transmission,power_ps,model,odometer_km,registration_month,fuel_type,brand,unrepaired_damage,ad_created,postal_code,last_seen
3830,3/17/2016 12:40,Mitsubishi_Carisma_GDI,1000,test,limousine,2000,manuell,125,carisma,150000,7,benzin,mitsubishi,nein,3/17/2016 0:00,68535,4/6/2016 13:46
3832,3/30/2016 21:37,BMW_535d_Touring_Sport_Aut._Edition_Sport_Top_Zustan,24950,test,kombi,2010,automatik,360,5er,150000,4,diesel,bmw,nein,3/30/2016 0:00,31319,4/5/2016 11:18
3834,3/22/2016 17:47,Ford_Ka_95.000_tkm,750,control,kleinwagen,2006,manuell,60,ka,100000,4,Unknown,ford,nein,3/22/2016 0:00,73635,3/22/2016 17:47
3835,3/27/2016 22:51,Mazda_6_Sport_Kombi_2.0_Exclusive__blau_metallic,5250,test,kombi,2006,manuell,147,6_reihe,150000,8,benzin,mazda,nein,3/27/2016 0:00,99099,4/6/2016 0:15
3837,3/31/2016 18:53,"Peugeot_306_""Rentnerfahrzeug""",1350,control,Unknown,2016,manuell,75,3_reihe,100000,5,Unknown,peugeot,nein,3/31/2016 0:00,70374,4/6/2016 12:46
3838,3/23/2016 17:54,Audi_A4_Avant_3.0_TDI_DPF_quattro_S_tronic_AHK/PANO,21950,control,kombi,2010,automatik,239,a4,150000,9,diesel,audi,nein,3/23/2016 0:00,56235,4/2/2016 0:17
3839,3/11/2016 8:53,Mercedes_Benz_CL_200,8200,test,coupe,2005,manuell,192,cl,125000,8,benzin,mercedes_benz,nein,3/11/2016 0:00,40227,3/17/2016 10:16
3842,3/29/2016 13:38,Skoda_Octavia_Kombi_1.6_SR__GLXI,1100,control,kombi,1999,manuell,101,octavia,150000,3,benzin,skoda,Unknown,3/29/2016 0:00,9117,4/3/2016 21:46
3843,3/16/2016 21:47,Nissan_Juke_Tekna_Automatik__Navi_Licht__Regensensor_WR,9999,control,kleinwagen,2011,automatik,117,juke,125000,7,benzin,nissan,nein,3/16/2016 0:00,45276,3/19/2016 21:18
3844,3/11/2016 17:59,BMW_335i_Cabrio_mit_Doppelkupplungsgetriebe,24900,control,cabrio,2009,automatik,306,3er,80000,2,benzin,bmw,nein,3/11/2016 0:00,81927,3/31/2016 2:17
3845,3/26/2016 12:49,Volkswagen_Golf_1.8__Automatik_,1400,control,limousine,1996,automatik,75,golf,80000,4,benzin,volkswagen,nein,3/26/2016 0:00,93105,4/6/2016 0:44
3846,4/3/2016 12:43,Mercedes_Benz_C_280_4Matic_7G_TRONIC_Avantgarde,16500,control,limousine,2008,automatik,231,c_klasse,60000,9,benzin,mercedes_benz,nein,4/3/2016 0:00,76751,4/7/2016 14:57
3847,3/29/2016 21:45,Volkswagen_Golf_1.9_SDI,1200,test,limousine,2001,manuell,68,golf,150000,2,diesel,volkswagen,nein,3/29/2016 0:00,87743,3/29/2016 21:45
3848,3/9/2016 23:43,Audi_A4_1.8_T_VOLL_AUSTATTUNG,4250,test,limousine,2002,manuell,163,a4,150000,12,benzin,audi,nein,3/9/2016 0:00,46045,3/14/2016 20:44
3850,3/14/2016 0:48,"VW_GOLF_II_19E_BBS_15""_Retro__Guter_Zustand",2799,control,kleinwagen,1990,manuell,70,golf,150000,4,benzin,volkswagen,nein,3/13/2016 0:00,51491,4/7/2016 3:16
3851,4/3/2016 10:52,BMW_X3_xDrive18d,13500,control,suv,2009,manuell,143,x_reihe,150000,10,Unknown,bmw,nein,4/3/2016 0:00,36110,4/7/2016 11:46
3852,3/27/2016 23:53,Bmw_e46_320d_6_Gang_Schalter_Navi_Isofix,2800,test,kombi,2003,manuell,150,3er,150000,8,diesel,bmw,ja,3/27/2016 0:00,67691,4/6/2016 9:15
3853,4/2/2016 19:39,Audi_A3_1.8____Tuev_&_Au_Juni_2016,1200,control,limousine,2000,manuell,125,a3,150000,1,benzin,audi,nein,4/2/2016 0:00,53881,4/6/2016 19:44
3854,3/25/2016 16:47,Volkswagen_Golf_1.4_United_1.HAND,7000,control,limousine,2008,manuell,80,golf,60000,4,benzin,volkswagen,nein,3/25/2016 0:00,89075,3/28/2016 16:16
3855,3/5/2016 16:45,Gepflegter_Renault_Megane_2_TÜV_Neu,2850,control,coupe,2004,manuell,130,megane,150000,9,diesel,renault,nein,3/5/2016 0:00,95445,3/25/2016 0:44
3856,3/19/2016 4:53,Ford_Ka_Titanium_Digital,5500,test,kleinwagen,2011,manuell,69,ka,70000,2,benzin,ford,nein,3/18/2016 0:00,96279,3/29/2016 18:15
3858,3/31/2016 19:52,Volkswagen_Polo_1.4_United,5650,control,kleinwagen,2008,manuell,80,polo,125000,7,benzin,volkswagen,nein,3/31/2016 0:00,32457,4/6/2016 14:18
3859,4/3/2016 18:45,Alfa_Romeo_159_Sportwagon_2.2_JTS_16V_Progression,7299,control,kombi,2007,manuell,185,159,125000,7,benzin,alfa_romeo,nein,4/3/2016 0:00,72406,4/5/2016 19:16
3860,4/2/2016 13:52,Citroën_Xsara_TÜV_8/16,555,test,andere,2003,manuell,109,andere,150000,4,benzin,citroen,Unknown,4/2/2016 0:00,35116,4/6/2016 12:46
3862,3/24/2016 13:49,Skoda_Yeti_2.0_TDI_4x4_neues_Modell,18000,control,suv,2014,manuell,140,yeti,30000,4,diesel,skoda,nein,3/24/2016 0:00,35043,3/30/2016 14:47
3863,3/21/2016 14:57,Mercedes_Benz_B_180,7500,control,kleinwagen,2005,manuell,105,b_klasse,150000,4,diesel,mercedes_benz,nein,3/21/2016 0:00,49497,4/6/2016 13:16
3864,3/29/2016 19:56,Ford_Focus_Turnier_1.6_16V_Style,4500,control,kombi,2008,manuell,101,focus,150000,7,benzin,ford,nein,3/29/2016 0:00,36124,3/31/2016 13:44
3865,3/16/2016 16:56,VW_VOLKSWAGEN_GOLF_V_5_*INSPEKTION_ZAHNRIEMEN_NEU*,3699,control,limousine,2004,manuell,105,golf,150000,7,diesel,volkswagen,Unknown,3/16/2016 0:00,44329,3/16/2016 17:40
3866,3/31/2016 7:36,Schicker_schwarzer_golf_4_16_v,2199,test,andere,2003,manuell,75,golf,150000,4,Unknown,volkswagen,Unknown,3/31/2016 0:00,98617,4/2/2016 4:17
3867,3/19/2016 12:52,Opel_Tigra_1.6i_16V,1350,test,kleinwagen,1997,manuell,106,tigra,150000,9,benzin,opel,nein,3/19/2016 0:00,74343,3/22/2016 22:16
3869,3/17/2016 18:36,Ford_Focus_2.5,10000,control,coupe,2006,manuell,276,focus,150000,4,benzin,ford,nein,3/17/2016 0:00,66809,3/17/2016 18:36
3872,3/13/2016 14:43,Audi_a3_2.0t_sportpack_s_tronic,7000,test,kombi,2006,automatik,200,a3,150000,4,benzin,audi,Unknown,3/13/2016 0:00,88239,4/6/2016 16:17
3873,3/21/2016 14:39,Hyundai_H_1_DF,2990,control,bus,2007,manuell,140,andere,150000,9,diesel,hyundai,nein,3/21/2016 0:00,32429,3/24/2016 2:47
3874,3/10/2016 21:38,Corsa_D_1_3CDTI__Klima_Sommer_und_Winterreifen,4600,control,kleinwagen,2009,manuell,75,corsa,125000,10,diesel,opel,nein,3/10/2016 0:00,32457,3/27/2016 1:47
3875,3/29/2016 23:41,Volkswagen_Passat_3b_1.6_Limousine_*viele_Neuteile*,1500,control,limousine,1996,manuell,101,passat,150000,11,benzin,volkswagen,nein,3/29/2016 0:00,21271,4/6/2016 10:44
3876,3/24/2016 20:51,Porsche_911_Carrera_Cabriolet__2.Hand_Scheckheft_gepfl.,42500,test,cabrio,2006,manuell,325,911,80000,3,benzin,porsche,nein,3/24/2016 0:00,34131,3/30/2016 23:16
3877,3/18/2016 0:32,Mercedes_Benz_A_140_Elegance,650,test,limousine,1998,manuell,82,a_klasse,150000,8,benzin,mercedes_benz,nein,3/18/2016 0:00,60388,3/18/2016 22:09
3878,3/31/2016 11:53,BMW_e61_530d,6900,control,kombi,2004,automatik,218,5er,150000,11,diesel,bmw,nein,3/31/2016 0:00,85354,4/6/2016 4:46
3879,3/17/2016 0:38,Ford_Fiesta_1.5_TDCi,9490,test,kleinwagen,2013,manuell,75,fiesta,60000,9,diesel,ford,nein,3/16/2016 0:00,51597,4/6/2016 1:49
3881,3/7/2016 19:55,Opel_Corsa_1.0_12V_Easytronic_1.Hand_Top_Zustand,3300,control,kleinwagen,2005,automatik,60,corsa,60000,9,benzin,opel,nein,3/7/2016 0:00,13509,4/7/2016 12:47
3882,3/11/2016 19:41,BMW_318i,6990,test,cabrio,1993,manuell,113,3er,125000,10,benzin,bmw,nein,3/11/2016 0:00,66123,3/12/2016 9:46
3883,3/12/2016 13:37,MINI_John_Cooper_Works_Cabrio_Mwst._von_Dame_gefahren,17900,control,cabrio,2009,manuell,211,cooper,60000,8,benzin,mini,nein,3/12/2016 0:00,82327,3/24/2016 4:15
3884,4/4/2016 20:30,BMW_323ti_compact,3750,test,limousine,1999,manuell,170,3er,150000,5,benzin,bmw,nein,4/4/2016 0:00,61440,4/5/2016 12:23
3885,3/10/2016 21:44,Volkswagen_Caddy_2.0_EcoFuel_Life__7_Si._,6650,control,kombi,2008,manuell,109,caddy,90000,12,cng,volkswagen,nein,3/10/2016 0:00,41469,4/6/2016 19:46
3887,3/27/2016 10:51,Nissan_Navara_King_Cab_Navi_Tempomat_Standheizung,11900,control,suv,2006,manuell,171,navara,150000,11,diesel,nissan,nein,3/27/2016 0:00,3238,4/7/2016 6:44
3888,3/7/2016 19:44,Renault_Clio_1.2_16V_Dynamique,500,control,kleinwagen,2001,manuell,75,clio,150000,7,benzin,renault,nein,3/7/2016 0:00,28259,3/8/2016 11:46
3889,3/11/2016 12:52,Volkswagen_up!,7500,test,kleinwagen,2012,manuell,75,up,40000,10,benzin,volkswagen,nein,3/11/2016 0:00,38179,4/7/2016 8:44
3892,3/22/2016 1:00,Audi_A2_1.6_FSI,3750,control,kleinwagen,2004,manuell,110,a2,150000,12,benzin,audi,nein,3/22/2016 0:00,68159,4/5/2016 18:15
3893,3/24/2016 18:59,Opel_Zafira_1.8_16V_Elegance,2000,test,bus,2000,manuell,116,zafira,90000,2,benzin,opel,nein,3/24/2016 0:00,89231,3/24/2016 19:39
3894,3/24/2016 11:39,Audi_A4_B5_Weiss_1.8_L_Scheckheft!,1250,test,limousine,1999,manuell,125,a4,150000,4,benzin,audi,nein,3/24/2016 0:00,77654,3/27/2016 7:44
3895,3/13/2016 17:22,Mercedes_Benz_Viano_2.2_CDI_kompakt_Ambiente,5850,test,bus,2004,manuell,150,viano,150000,3,diesel,mercedes_benz,nein,3/13/2016 0:00,60322,3/15/2016 16:20
3896,3/8/2016 0:32,MG_MG_ZT_T_2.5_V6,2000,test,kombi,2003,manuell,190,Unknown,150000,7,benzin,sonstige_autos,ja,3/8/2016 0:00,56075,3/16/2016 4:44
3898,3/18/2016 14:06,BMW_540i_///M5_Schaltgetriebe,9800,test,limousine,2001,manuell,286,5er,150000,6,benzin,bmw,nein,3/18/2016 0:00,56470,4/1/2016 17:16
3899,3/20/2016 13:38,BMW_535d_Bj._12/2006._km_167.000,11000,test,limousine,2006,automatik,271,5er,150000,12,diesel,bmw,ja,3/20/2016 0:00,46535,4/6/2016 14:18
3900,3/17/2016 19:46,Opel_Corsa_B_mit_Klima_fuer_Bastler,500,control,kleinwagen,1999,manuell,60,corsa,150000,3,benzin,opel,nein,3/17/2016 0:00,31832,4/7/2016 7:17
3901,3/11/2016 19:40,Mercedes_Benz_C_180_Kompressor_Classic,5480,test,limousine,2006,manuell,143,c_klasse,150000,4,benzin,mercedes_benz,nein,3/11/2016 0:00,1445,4/6/2016 0:16
3902,3/19/2016 11:50,Volkswagen_New_Beetle,1700,test,limousine,1999,manuell,116,Unknown,125000,4,benzin,volkswagen,Unknown,3/19/2016 0:00,33602,4/6/2016 14:46
3903,3/10/2016 0:58,Mercedes_Benz_C_220_T_CDI_Automatik_Avantgarde_DPF,8500,control,kombi,2004,automatik,150,c_klasse,150000,5,diesel,mercedes_benz,nein,3/9/2016 0:00,70327,4/6/2016 0:45
3905,3/14/2016 12:58,Ford_Galaxy_16V_Ghia,1600,test,bus,2001,manuell,145,galaxy,150000,3,benzin,ford,nein,3/14/2016 0:00,41749,4/5/2016 13:47
3909,4/2/2016 23:51,Volkswagen_Polo,1300,test,kleinwagen,2001,manuell,60,polo,150000,4,benzin,volkswagen,nein,4/2/2016 0:00,96199,4/3/2016 5:40
3910,4/1/2016 23:37,Ford_Explorer__USA_,650,control,suv,1994,automatik,165,andere,150000,9,benzin,ford,ja,4/1/2016 0:00,72770,4/6/2016 5:16
3911,3/16/2016 18:37,Renault_Scenic1.6_16V_110_TomTom_Edition_Navi_Klima_Sitzh.Tempom.,9800,control,bus,2011,manuell,110,scenic,40000,10,benzin,renault,nein,3/16/2016 0:00,6618,3/24/2016 11:45
3912,3/7/2016 3:53,BMW_318i,4200,test,cabrio,1996,manuell,116,3er,150000,5,benzin,bmw,nein,3/7/2016 0:00,28259,3/10/2016 6:16
3913,3/19/2016 11:52,Ford_Focus_Turnier_1.6_16V,5200,test,kombi,2007,manuell,101,focus,125000,6,benzin,ford,nein,3/19/2016 0:00,47638,3/24/2016 5:16
3915,3/19/2016 4:55,Mercedes_Benz_CLK_Coupe_200,2100,test,coupe,1998,automatik,136,clk,150000,5,benzin,mercedes_benz,nein,3/18/2016 0:00,94481,3/23/2016 21:19
3919,3/24/2016 19:48,VW_Cross_Polo_in_Orange_1.Hand_ab_Werk_6.400__Euro_TOP_Zustand,5990,control,kleinwagen,2007,manuell,80,polo,125000,7,benzin,volkswagen,nein,3/24/2016 0:00,58636,4/5/2016 12:16
3921,4/3/2016 14:42,R16_TL_in_schoenem_Zustand,6550,test,limousine,1979,manuell,65,andere,70000,3,Unknown,renault,nein,4/3/2016 0:00,10783,4/5/2016 13:18
3922,3/12/2016 17:50,Opel_Corsa_1.7_CDTI,2150,test,kleinwagen,2004,manuell,101,corsa,150000,9,diesel,opel,nein,3/12/2016 0:00,54298,4/7/2016 10:16
3923,3/27/2016 0:59,Opel_Vectra_1.8_CD_LEDER.Schiebedach.ALU.SHZ.,999,test,limousine,1996,manuell,116,vectra,150000,8,benzin,opel,nein,3/27/2016 0:00,45309,4/7/2016 4:45
3924,3/5/2016 21:51,Volkswagen_Golf_Cabrio_1.6,4899,test,cabrio,1999,manuell,101,golf,150000,7,benzin,volkswagen,nein,3/5/2016 0:00,15926,4/7/2016 11:46
3926,4/1/2016 12:53,Mercedes_Benz_A_180,6390,test,limousine,2006,manuell,109,a_klasse,150000,12,diesel,mercedes_benz,nein,4/1/2016 0:00,10557,4/7/2016 10:16
3927,3/29/2016 15:36,Mercedes_Benz_S_400_CDI,6850,control,limousine,2002,automatik,250,s_klasse,150000,11,diesel,mercedes_benz,nein,3/29/2016 0:00,52070,4/6/2016 2:15
3928,3/15/2016 22:55,Ford_Focus_Turnier_1.6_EcoBoost_Start_Stopp_System,13900,control,kombi,2012,manuell,150,focus,40000,4,benzin,ford,nein,3/15/2016 0:00,7629,4/3/2016 16:46
3932,3/23/2016 0:55,VW_Golf_4_KLIMA_1_4_16V__TÜV_03.2018__SCHECKHEFTGEPFLEGT,2190,test,limousine,2000,manuell,75,Unknown,150000,11,Unknown,volkswagen,nein,3/22/2016 0:00,87527,3/27/2016 10:45
3933,4/2/2016 0:55,BMW_116_Benziner_Advantage_Paket_Hinten_PDC,5200,test,limousine,2006,manuell,116,1er,150000,8,benzin,bmw,Unknown,4/1/2016 0:00,55232,4/4/2016 4:17
3934,3/26/2016 19:50,Opel_Meriva_1.4_Edition,5490,control,bus,2007,manuell,90,meriva,70000,12,benzin,opel,nein,3/26/2016 0:00,28239,3/28/2016 9:16
3935,3/8/2016 12:25,Volkswagen_Passat_Variant_2.5_TDI_V6_4Motion,3000,control,kombi,2003,automatik,177,passat,150000,7,diesel,volkswagen,ja,3/8/2016 0:00,65510,3/19/2016 6:46
3936,4/3/2016 21:54,Fiat_1800_Berlina___H_Kennzeichen___Orig.KM_Stand,23999,test,limousine,1967,manuell,86,andere,80000,6,benzin,fiat,nein,4/3/2016 0:00,90427,4/5/2016 23:15
3937,3/15/2016 14:46,Volkswagen_Passat_1.9_TDI,1999,control,kombi,2001,manuell,101,passat,150000,8,diesel,volkswagen,nein,3/15/2016 0:00,31224,4/6/2016 4:44
3938,4/1/2016 20:50,Opel_Vectra_1.8_CD,950,test,limousine,1996,manuell,116,vectra,125000,12,benzin,opel,nein,4/1/2016 0:00,63607,4/1/2016 20:50
3939,3/15/2016 8:53,BMW_320I_Cabrio,5999,test,cabrio,1996,manuell,150,3er,150000,3,benzin,bmw,nein,3/15/2016 0:00,51381,4/5/2016 18:44
3940,3/29/2016 19:47,BMW_530d_Touring_Aut.,14999,control,kombi,2007,automatik,231,5er,150000,3,diesel,bmw,nein,3/29/2016 0:00,46359,4/6/2016 5:46
3941,3/15/2016 13:06,BMW_X5_3.0_d,7100,control,limousine,2003,manuell,184,x_reihe,150000,7,diesel,bmw,nein,3/15/2016 0:00,61231,4/5/2016 19:16
3942,3/23/2016 11:57,Fiat_Punto_1.2_8V_Active,1240,test,kleinwagen,2003,manuell,60,punto,150000,9,benzin,fiat,nein,3/23/2016 0:00,71642,3/23/2016 12:39
3943,3/22/2016 17:44,Peugeot_207_90,3300,control,kleinwagen,2006,manuell,88,2_reihe,90000,9,benzin,peugeot,nein,3/22/2016 0:00,80937,4/6/2016 8:17
3944,4/4/2016 10:58,Ford_Focus_Turnier_2.0_TDCi_DPF_Aut._Style,6800,control,kombi,2008,automatik,110,focus,150000,10,diesel,ford,nein,4/4/2016 0:00,13353,4/6/2016 11:46
3947,3/21/2016 15:45,Audi_A4_B6_2.0l_131ps,2600,control,limousine,2001,manuell,131,a4,150000,7,Unknown,audi,nein,3/21/2016 0:00,45549,3/22/2016 20:16
3948,4/6/2016 16:06,Opel_Corsa_Swing,750,control,kleinwagen,1995,manuell,60,corsa,150000,1,benzin,opel,nein,4/6/2016 0:00,61381,4/6/2016 16:06
3949,3/8/2016 19:57,Audi_A4_Avant_Quattro_3.0TDI,16799,test,kombi,2009,automatik,239,a4,150000,11,diesel,audi,nein,3/8/2016 0:00,59368,4/5/2016 18:44
3950,3/24/2016 17:49,Megane_Grandtour_Getriebeschaden,1200,control,kombi,2004,manuell,113,megane,20000,11,benzin,renault,ja,3/24/2016 0:00,79206,3/30/2016 19:45
3952,3/8/2016 4:37,Fiat_Punto_Grande_Schwungscheibe_muss_erneuert_werden,900,test,kleinwagen,2007,manuell,65,punto,150000,7,benzin,fiat,ja,3/8/2016 0:00,26919,3/9/2016 14:17
3953,3/28/2016 10:53,Renault_scenic_1.6_mit_tuev_02_/_18_mit_Prinz_gas_anlage,850,control,kleinwagen,1999,manuell,95,scenic,150000,3,lpg,renault,nein,3/28/2016 0:00,48301,3/28/2016 10:53
3955,4/1/2016 0:54,Achtung_Achtung!!!_Super_Fiat_Punto_fuer_Anfaenger!!!!!,1700,test,kleinwagen,2005,manuell,60,punto,90000,3,benzin,fiat,Unknown,4/1/2016 0:00,81369,4/1/2016 8:40
3956,3/29/2016 19:55,Volkswagen_New_Beetle_2.0,2500,control,limousine,1999,manuell,116,beetle,150000,10,benzin,volkswagen,nein,3/29/2016 0:00,8547,3/31/2016 13:44
3957,3/20/2016 11:49,Smart_smart_&_pulse_cdi,1750,test,kleinwagen,2000,automatik,41,fortwo,150000,11,diesel,smart,nein,3/20/2016 0:00,59510,3/31/2016 16:47
3958,4/3/2016 17:53,Bmw_330ci_cabrio_M_paket_II_ab_werk_tuev_2017,5999,test,cabrio,2001,manuell,231,3er,150000,8,benzin,bmw,Unknown,4/3/2016 0:00,27711,4/5/2016 18:17
3959,3/29/2016 1:32,Top_Zustand,1750,test,kleinwagen,2002,manuell,65,Unknown,150000,1,diesel,renault,nein,3/29/2016 0:00,35390,4/7/2016 8:16
3960,3/29/2016 17:38,Audi_A6_2.4_multitronic,9990,control,limousine,2006,automatik,177,a6,100000,3,benzin,audi,nein,3/29/2016 0:00,50181,4/6/2016 3:15
3962,4/1/2016 19:56,Skoda_Fabia_1_2_HTP__Baujahr_2005__viele_Extras,2399,control,Unknown,2016,manuell,60,fabia,150000,6,Unknown,skoda,Unknown,4/1/2016 0:00,12307,4/5/2016 16:45
3963,3/20/2016 18:40,BMW_316ti_compact,3800,test,limousine,2002,manuell,116,3er,150000,5,benzin,bmw,nein,3/20/2016 0:00,46242,3/24/2016 11:45
3965,3/5/2016 19:37,Ford_Fiesta_2012_mit_Tuev,6200,test,kleinwagen,2012,manuell,60,fiesta,80000,6,benzin,ford,nein,3/5/2016 0:00,24594,3/12/2016 1:15
3966,3/22/2016 18:37,Top_A6_2_5_tdi_gruene_plakette_Mmi_navi,3700,control,kombi,2004,automatik,163,a6,150000,8,diesel,audi,Unknown,3/22/2016 0:00,86899,3/22/2016 18:37
3969,3/23/2016 14:52,Renault_Twingo_1.3,710,test,kleinwagen,1995,manuell,54,twingo,150000,11,benzin,renault,nein,3/23/2016 0:00,17192,3/26/2016 8:15
3971,3/8/2016 19:41,Z3_Cabrio_grau,2700,test,cabrio,1997,manuell,140,Unknown,150000,1,benzin,bmw,nein,3/8/2016 0:00,41199,3/9/2016 11:15
3973,3/12/2016 17:41,Volkswagen_Golf_1.8_Klima.TÜV_07.2017,650,test,limousine,1996,manuell,75,golf,150000,6,benzin,volkswagen,nein,3/12/2016 0:00,59067,4/7/2016 8:45
3974,3/10/2016 16:06,Renault_Megane_1.5_dCi_FAP_Grandtour_eco,3950,test,kombi,2009,manuell,103,megane,150000,3,diesel,renault,nein,3/10/2016 0:00,57234,4/6/2016 12:45
3976,3/21/2016 18:48,Volkswagen_Golf_1.4_TSI_Comfortline,9399,test,limousine,2009,manuell,122,golf,70000,11,benzin,volkswagen,nein,3/21/2016 0:00,97228,4/6/2016 20:46
3978,3/19/2016 18:56,vw_polo_6n_mit_1_0_l_motor,999,test,kleinwagen,1998,manuell,55,polo,150000,4,benzin,volkswagen,Unknown,3/19/2016 0:00,57076,4/7/2016 6:16
3979,3/20/2016 22:42,VW_Up__Blue_Motion__Cup_Up__2100km__2_Tuerer__Klima__Navi__SHZ,10000,test,andere,2014,manuell,75,up,5000,9,benzin,volkswagen,nein,3/20/2016 0:00,26624,4/7/2016 7:46
3980,3/21/2016 13:38,Volkswagen_Golf_1.4,750,test,limousine,2003,manuell,75,golf,150000,2,benzin,volkswagen,ja,3/21/2016 0:00,53639,3/26/2016 19:16
3981,3/20/2016 13:48,Top_Smart_ohne_Maengel_und_mit_neuem_TÜV,3950,test,coupe,2009,automatik,71,fortwo,80000,9,benzin,smart,nein,3/20/2016 0:00,40233,3/28/2016 12:45
3982,3/25/2016 21:53,Opel_Astra_G___Diesel___zu_verkaufen__TÜV_NEU!!!_,2500,test,limousine,2003,manuell,75,astra,150000,12,diesel,opel,Unknown,3/25/2016 0:00,35396,4/1/2016 21:17
3983,3/16/2016 17:47,Verkaufe_mein_Citroen_c3,14500,control,limousine,2015,manuell,68,c3,50000,3,benzin,citroen,nein,3/16/2016 0:00,26506,4/6/2016 23:46
3986,4/4/2016 20:38,Ford_Ka,1400,control,kleinwagen,2006,manuell,60,ka,100000,4,benzin,ford,nein,4/4/2016 0:00,73527,4/6/2016 22:46
3987,3/16/2016 13:56,Alfa_Romeo_147_1.9_JTD,2699,control,limousine,2005,manuell,116,147,150000,3,diesel,alfa_romeo,nein,3/16/2016 0:00,44795,3/30/2016 0:15
3988,4/1/2016 15:58,BMW_520i_touring,4600,test,kombi,2001,manuell,170,5er,150000,10,benzin,bmw,nein,4/1/2016 0:00,14612,4/5/2016 11:44
3989,3/14/2016 19:42,Ford_Focus_Kombi_Ghia,1199,control,kombi,1999,manuell,115,focus,150000,7,benzin,ford,nein,3/14/2016 0:00,21423,3/23/2016 22:46
3990,3/21/2016 18:37,MINI_Mini_Cooper_S_Cabrio_Aut.,23300,test,cabrio,2012,automatik,184,cooper,40000,4,benzin,mini,nein,3/21/2016 0:00,85375,4/6/2016 19:47
3991,3/26/2016 12:57,Volkswagen_Polo_1.6_TDI_4/5_Tuerig_Klima,6200,control,kleinwagen,2009,manuell,75,polo,150000,12,diesel,volkswagen,ja,3/26/2016 0:00,89312,3/31/2016 7:46
3993,3/25/2016 15:49,Top_gepflegter_Mercedes_C_180__CGI____204_,15200,test,limousine,2010,automatik,156,c_klasse,60000,6,benzin,mercedes_benz,nein,3/25/2016 0:00,75365,4/6/2016 19:47
3994,3/17/2016 22:51,VW_Polo_9N_1_2,2100,test,kleinwagen,2003,manuell,54,polo,150000,1,benzin,volkswagen,nein,3/17/2016 0:00,23554,3/29/2016 8:47
3995,3/24/2016 23:36,Ich_verkaufe_mein_C320_Mercedes_Kombi,2600,test,kombi,2003,automatik,218,c_klasse,150000,6,benzin,mercedes_benz,nein,3/24/2016 0:00,12157,3/24/2016 23:36
3996,3/20/2016 14:54,BMW_116i,9400,test,limousine,2009,manuell,122,1er,70000,1,benzin,bmw,nein,3/20/2016 0:00,41542,4/6/2016 18:45
3998,3/25/2016 14:39,Ford_StreetKA,3000,control,cabrio,2004,manuell,95,andere,80000,12,benzin,ford,nein,3/25/2016 0:00,78239,4/6/2016 17:17
3999,3/30/2016 20:51,Mercedes_benz_clk_270_CDi,5299,control,coupe,2003,manuell,170,clk,150000,6,diesel,mercedes_benz,nein,3/30/2016 0:00,90552,4/7/2016 13:18
4000,3/26/2016 18:40,Smart_/_BJ_99_/_45PS_/_Motorschaden_Zylinder_3,550,test,kleinwagen,1999,Unknown,45,fortwo,150000,6,benzin,smart,nein,3/26/2016 0:00,71701,3/26/2016 18:40
4001,4/2/2016 4:36,Hyundai_zu_verkaufen,8199,control,suv,2006,manuell,155,santa,150000,1,diesel,hyundai,nein,4/2/2016 0:00,72414,4/6/2016 6:44
4003,3/5/2016 14:11,Opel_Astra_GTC_Sport,3700,test,coupe,2006,manuell,101,astra,150000,7,diesel,opel,nein,3/3/2016 0:00,55218,3/6/2016 3:44
4004,3/15/2016 15:48,Volkswagen_Golf_2.0_GTI_DSG,10000,control,limousine,2005,automatik,200,golf,150000,4,benzin,volkswagen,nein,3/15/2016 0:00,48231,4/6/2016 7:46
4006,3/21/2016 15:57,Ford_Cougar_24V_Automatik,2190,control,coupe,2000,automatik,170,andere,150000,3,benzin,ford,nein,3/21/2016 0:00,7616,4/6/2016 14:45
4008,3/31/2016 7:53,Mercedes_Benz_C_220,16000,test,limousine,2009,manuell,170,c_klasse,90000,7,diesel,mercedes_benz,nein,3/31/2016 0:00,79395,4/6/2016 2:17
4010,4/2/2016 10:41,Golf_VI_Match_R_Line_Exterieur_+_Dynaudio_+_grosses_Radio,11990,test,limousine,2012,manuell,122,golf,40000,7,benzin,volkswagen,nein,4/2/2016 0:00,38442,4/6/2016 8:15
4011,4/2/2016 10:56,Citroën_Xsara_Kombi_2.0_16V_Exclusive,990,test,kombi,2002,manuell,136,andere,150000,10,benzin,citroen,nein,4/2/2016 0:00,89143,4/4/2016 8:18
4012,3/20/2016 19:39,Ford_Galaxy_16V,1100,test,bus,2000,manuell,145,galaxy,150000,3,benzin,ford,nein,3/20/2016 0:00,91171,4/7/2016 3:44
4013,3/10/2016 14:46,BMW_320d__mit_DPF_aus_2.Hand_mit__Org.140tsd_Km,5300,test,limousine,2002,manuell,150,3er,150000,4,diesel,bmw,nein,3/10/2016 0:00,73433,3/29/2016 4:17
4014,3/27/2016 23:48,Toyota_Avensis_1.8_Combi_linea_terra,2390,test,kombi,2001,manuell,129,avensis,150000,4,benzin,toyota,nein,3/27/2016 0:00,7552,4/6/2016 2:15
4015,3/28/2016 11:54,Mercedes_Benz_230_E,1200,control,limousine,1986,manuell,132,andere,150000,7,benzin,mercedes_benz,nein,3/28/2016 0:00,54347,3/28/2016 11:54
